,Winners,Losers
2481,Gillian Robertson,Veronica Hardy
2482,Damir Hadzovic,Marco Polo Reyes
2483,Ismail Naurdiev,Michel Prazeres
2484,Diego Ferreira,Rustam Khabilov
2485,Damir Ismagulov,Joel Alvarez
2486,Francis Ngannou,Cain Velasquez
2487,Paul Felder,James Vick
2488,Cynthia Calvillo,Cortney Casey
2489,Kron Gracie,Alex Caceres
2490,Vicente Luque,Bryan Barberena
2491,Andre Fili,Myles Jury
2492,Aljamain Sterling,Jimmie Rivera
2493,Manny Bermudez,Benito Lopez
2494,Andrea Lee,Ashlee Evans-Smith
2495,Nik Lentz,Scott Holtzman
2496,Luke Sanders,Renan Barao
2497,Emily Whitmire,Aleksandra Albu
2498,Israel Adesanya,Anderson Silva
2499,Lando Vannata,Marcos Mariano
2500,Ricky Simon,Rani Yahya
2501,Montana De La Rosa,Nadia Kassem
2502,Jimmy Crute,Sam Alvey
2503,Devonte Smith,Dong Hyun Ma
2504,Shane Young,Austin Arnett
2505,Kai Kara-France,Raulian Paiva
2506,Kyung Ho Kang,Teruto Ishihara
2507,Jalin Turner,Callan Potter
2508,Jonathan Martinez,Wulijiburen
2509,Marlon Moraes,Raphael Assuncao
2510,Jose Aldo,Renato Moicano
2511,Demian Maia,Lyman Good
2512,Charles Oliveira,David Teymur
2513,Johnny Walker,Justin Ledet
2514,Livinha Souza,Sarah Frota
2515,Markus Perez,Anthony Hernandez
2516,Mara Romero Borella,Taila Santos
2517,Thiago Alves,Max Griffin
2518,Jairzinho Rozenstruik,Junior Albini
2519,Geraldo de Freitas,Felipe Colares
2520,Said Nurmagomedov,Ricardo Ramos
2521,Rogerio Bontorin,Bibulatov Magomed
2522,Henry Cejudo,TJ Dillashaw
2523,Allen Crowder,Greg Hardy
2524,Gregor Gillespie,Yancy Medeiros
2525,Joseph Benavidez,Dustin Ortiz
2526,Paige VanZant,Rachael Ostovich
2527,Glover Teixeira,Karl Roberson
2528,Donald Cerrone,Alexander Hernandez
2529,Joanne Wood,Ariane Lipski
2530,Alonzo Menifield,Vinicius Moreira
2531,Cory Sandhagen,Mario Bautista
2532,Dennis Bermudez,Te Edwards
2533,Geoff Neal,Belal Muhammad
2534,Chance Rencountre,Kyle Stewart
2535,Jon Jones,Alexander Gustafsson
2536,Amanda Nunes,Cristiane Justino
2537,Michael Chiesa,Carlos Condit
2538,Corey Anderson,Ilir Latifi
2539,Alexander Volkanovski,Chad Mendes
2540,Andrei Arlovski,Walt Harris
2541,Megan Anderson,Cat Zingano
2542,Petr Yan,Douglas Silva de Andrade
2543,Ryan Hall,BJ Penn
2544,Nathaniel Wood,Andre Ewell
2545,Uriah Hall,Bevon Lewis
2546,Curtis Millender,Siyar Bahadurzada
2547,Montel Jackson,Brian Kelleher
2548,Al Iaquinta,Kevin Lee
2549,Edson Barboza,Dan Hooker
2550,Rob Font,Sergio Pettis
2551,Charles Oliveira,Jim Miller
2552,Zak Ottow,Dwight Grant
2553,Drakkar Klose,Bobby Green
2554,Joaquim Silva,Jared Gordon
2555,Jack Hermansson,Gerald Meerschaert
2556,Zak Cummings,Trevor Smith
2557,Dan Ige,Jordan Griffin
2558,Mike Rodriguez,Adam Milstead
2559,Juan Adams,Chris de la Rocha
2560,Max Holloway,Brian Ortega
2561,Valentina Shevchenko,Joanna Jedrzejczyk
2562,Gunnar Nelson,Alex Oliveira
2563,Hakeem Dawodu,Kyle Bochniak
2564,Thiago Santos,Jimi Manuwa
2565,Nina Nunes,Claudia Gadelha
2566,Gilbert Burns,Olivier Aubin-Mercier
2567,Jessica Eye,Katlyn Cerminara
2568,Elias Theodorou,Eryk Anders
2569,Brad Katona,Matthew Lopez
2570,Dhiego Lima,Chad Laprise
2571,Diego Ferreira,Kyle Nelson
2572,Aleksandar Rakic,Devin Clark
2573,Junior Dos Santos,Tai Tuivasa
2574,Mauricio Rua,Tyson Pedro
2575,Justin Willis,Mark Hunt
2576,Anthony Rocco Martin,Jake Matthews
2577,Sodiq Yusuff,Suman Mokhtarian
2578,Jimmy Crute,Paul Craig
2579,Aleksei Kunchenko,Yushin Okami
2580,Wilson Reis,Ben Nguyen
2581,Keita Nakamura,Salim Touahri
2582,Kai Kara-France,Elias Garcia
2583,Christos Giagos,Mizuto Hirota
2584,Damir Ismagulov,Alex Gorgees
2585,Kamaru Usman,Rafael Dos Anjos
2586,Juan Espino,Justin Frazier
2587,Macy Chiasson,Pannie Kianzad
2588,Pedro Munhoz,Bryan Caraway
2589,Edmen Shahbazyan,Darren Stewart
2590,Antonina Shevchenko,Ji Yeon Kim
2591,Kevin Aguilar,Ricky Glenn
2592,Joseph Benavidez,Alex Perez
2593,Maurice Greene,Michel Batista
2594,Leah Letson,Julija Stoliarenko
2595,Roosevelt Roberts,Darrell Horcher
2596,Tim Means,Ricky Rainey
2597,Raoni Barcelos,Chris Gutierrez
2598,Francis Ngannou,Curtis Blaydes
2599,Alistair Overeem,Sergei Pavlovich
2600,Song Yadong,Vince Morales
2601,Li Jingliang,David Zawada
2602,Alex Morono,Song Kenan
2603,Wu Yanan,Lauren Mueller
2604,Rashad Coulter,Hu Yaozong
2605,Zhang Weili,Jessica Aguilar
2606,Pingyuan Liu,Martin Day
2607,Yan Xiaonan,Syuri Kondo
2608,Kevin Holland,John Phillips
2609,Louis Smolka,Sumudaerji
2610,Santiago Ponzinibbio,Neil Magny
2611,Ricardo Lamas,Darren Elkins
2612,Johnny Walker,Khalil Rountree Jr.
2613,Ian Heinisch,Cezar Ferreira
2614,Marlon Vera,Guido Cannetti
2615,Cynthia Calvillo,Poliana Botelho
2616,Michel Prazeres,Bartosz Fabinski
2617,Alexandre Pantoja,Yuta Sasaki
2618,Austin Arnett,Humberto Bandenay
2619,Laureano Staropoli,Hector Aldana
2620,Jesus Pinedo,Devin Powell
2621,Nad Narimani,Anderson Dos Santos
2622,Yair Rodriguez,Chan Sung Jung
2623,Donald Cerrone,Mike Perry
2624,Germaine de Randamie,Raquel Pennington
2625,Beneil Dariush,Thiago Moises
2626,Maycee Barber,Hannah Cifers
2627,Michael Trizano,Luis Pena
2628,Ashley Yoder,Amanda Cooper
2629,Chas Skelly,Bobby Moffett
2630,Davi Ramos,John Gunther
2631,Devonte Smith,Julian Erosa
2632,Eric Shelton,Joseph Morales
2633,Mark De La Rosa,Joby Sanchez
2634,Daniel Cormier,Derrick Lewis
2635,Jacare Souza,Chris Weidman
2636,Jared Cannonier,David Branch
2637,Karl Roberson,Jack Marshman
2638,Israel Adesanya,Derek Brunson
2639,Jordan Rinaldi,Jason Knight
2640,Sijara Eubanks,Roxanne Modafferi
2641,Sheymon Moraes,Julio Arce
2642,Lyman Good,Ben Saunders
2643,Matt Frevola,Lando Vannata
2644,Shane Burgos,Kurt Holobaugh
2645,Marcos Rogerio de Lima,Adam Wieczorek
2646,Anthony Smith,Volkan Oezdemir
2647,Michael Johnson,Artem Lobov
2648,Misha Cirkunov,Patrick Cummins
2649,Andre Soukhamthath,Jonathan Martinez
2650,Gian Villante,Ed Herman
2651,Court McGee,Alex Garcia
2652,Sean Strickland,Nordine Taleb
2653,Nasrat Haqparast,Thibault Gouti
2654,Calvin Kattar,Chris Fishgold
2655,Talita Bernardo,Sarah Moras
2656,Don Madge,Te Edwards
2657,Arjan Bhullar,Marcelo Golm
2658,Stevie Ray,Jessin Ayari
2659,Khabib Nurmagomedov,Conor McGregor
2660,Tony Ferguson,Anthony Pettis
2661,Dominick Reyes,Ovince Saint Preux
2662,Derrick Lewis,Alexander Volkov
2663,Michelle Waterson-Gomez,Felice Herrig
2664,Jussier Formiga,Sergio Pettis
2665,Vicente Luque,Jalin Turner
2666,Aspen Ladd,Tonya Evinger
2667,Scott Holtzman,Alan Patrick
2668,Yana Santos,Lina Lansberg
2669,Nik Lentz,Gray Maynard
2670,Anthony Rocco Martin,Ryan LaFlare
2671,Thiago Santos,Eryk Anders
2672,Alex Oliveira,Carlo Pedersoli Jr.
2673,Rogerio Nogueira,Sam Alvey
2674,Andre Ewell,Renan Barao
2675,Randa Markos,Marina Rodriguez
2676,Charles Oliveira,Christos Giagos
2677,Francisco Trinaldo,Evan Dunham
2678,Ryan Spann,Luis Henrique
2679,Augusto Sakai,Chase Sherman
2680,Sergio Moraes,Ben Saunders
2681,Mayra Bueno Silva,Gillian Robertson
2682,Thales Leites,Hector Lombard
2683,Elizeu Zaleski dos Santos,Luigi Vendramini
2684,Livinha Souza,Alex Chambers
2685,Aleksei Oleinik,Mark Hunt
2686,Jan Blachowicz,Nikita Krylov
2687,Shamil Abdurakhimov,Andrei Arlovski
2688,Aleksei Kunchenko,Thiago Alves
2689,Khalid Murtazaliev,CB Dollaway
2690,Petr Yan,Jin Soo Son
2691,Rustam Khabilov,Kajan Johnson
2692,Mairbek Taisumov,Desmond Green
2693,Magomed Ankalaev,Marcin Prachnio
2694,Jordan Johnson,Adam Yandiev
2695,Ramazan Emeev,Stefan Sekulic
2696,Merab Dvalishvili,Terrion Ware
2697,Tyron Woodley,Darren Till
2698,Jessica Andrade,Karolina Kowalkiewicz
2699,Zabit Magomedsharipov,Brandon Davis
2700,Jimmie Rivera,John Dodson
2701,Abdul Razak Alhassan,Niko Price
2702,Tatiana Suarez,Carla Esparza
2703,Aljamain Sterling,Cody Stamann
2704,Geoff Neal,Frank Camacho
2705,Darren Stewart,Charles Byrd
2706,Diego Sanchez,Craig White
2707,Jim Miller,Alex White
2708,Irene Aldana,Lucie Pudilova
2709,Jarred Brooks,Robert Sanchez
2710,Justin Gaethje,James Vick
2711,Michael Johnson,Andre Fili
2712,Cortney Casey,Angela Hill
2713,Bryan Barberena,Jake Ellenberger
2714,Deiveson Figueiredo,John Moraga
2715,Eryk Anders,Tim Williams
2716,James Krause,Warlley Alves
2717,Cory Sandhagen,Iuri Alcantara
2718,Andrew Sanchez,Markus Perez
2719,Mickey Gall,George Sullivan
2720,Joanne Wood,Kalindra Faria
2721,Drew Dober,Jon Tuck
2722,Rani Yahya,Luke Sanders
2723,TJ Dillashaw,Cody Garbrandt
2724,Henry Cejudo,Demetrious Johnson
2725,Renato Moicano,Cub Swanson
2726,JJ Aldrich,Polyana Viana
2727,Thiago Santos,Kevin Holland
2728,Pedro Munhoz,Brett Johns
2729,Ricky Simon,Montel Jackson
2730,Ricardo Ramos,Kyung Ho Kang
2731,Sheymon Moraes,Matt Sayles
2732,Alex Perez,Jose Torres
2733,Zhang Weili,Danielle Taylor
2734,Marlon Vera,Wulijiburen
2735,Dustin Poirier,Eddie Alvarez
2736,Jose Aldo,Jeremy Stephens
2737,Joanna Jedrzejczyk,Tecia Torres
2738,Alexander Hernandez,Olivier Aubin-Mercier
2739,Jordan Mein,Alex Morono
2740,Hakeem Dawodu,Austin Arnett
2741,Islam Makhachev,Kajan Johnson
2742,Ion Cutelaba,Gadzhimurad Antigulov
2743,John Makdessi,Ross Pearson
2744,Katlyn Cerminara,Alexis Davis
2745,Dustin Ortiz,Matheus Nicolau
2746,Nina Nunes,Randa Markos
2747,Devin Powell,Alvaro Herrera Mendoza
2748,Anthony Smith,Mauricio Rua
2749,Corey Anderson,Glover Teixeira
2750,Abu Azaitar,Vitor Miranda
2751,Marcin Tybura,Stefan Struve
2752,Danny Roberts,David Zawada
2753,Nasrat Haqparast,Marc Diakiese
2754,Damir Hadzovic,Nick Hein
2755,Bartosz Fabinski,Emil Meek
2756,Nad Narimani,Khalid Taha
2757,Aleksandar Rakic,Justin Ledet
2758,Manny Bermudez,Davey Grant
2759,Darko Stosic,Jeremy Kimball
2760,Pingyuan Liu,Damian Stasiak
2761,Junior Dos Santos,Blagoy Ivanov
2762,Sage Northcutt,Zak Ottow
2763,Ricky Glenn,Dennis Bermudez
2764,Niko Price,Randy Brown
2765,Chad Mendes,Myles Jury
2766,Cat Zingano,Marion Reneau
2767,Alejandro Perez,Eddie Wineland
2768,Alexander Volkanovski,Darren Elkins
2769,Said Nurmagomedov,Justin Scoggins
2770,Raoni Barcelos,Kurt Holobaugh
2771,Liz Carmouche,Jennifer Maia
2772,Mark De La Rosa,Elias Garcia
2773,Jessica Aguilar,Jodie Esquibel
2774,Daniel Cormier,Stipe Miocic
2775,Derrick Lewis,Francis Ngannou
2776,Mike Perry,Paul Felder
2777,Anthony Pettis,Michael Chiesa
2778,Khalil Rountree Jr.,Gokhan Saki
2779,Paulo Costa,Uriah Hall
2780,Raphael Assuncao,Rob Font
2781,Drakkar Klose,Lando Vannata
2782,Curtis Millender,Max Griffin
2783,Dan Hooker,Gilbert Burns
2784,Emily Whitmire,Jamie Moyle
2785,Israel Adesanya,Brad Tavares
2786,Michael Trizano,Joe Giannetti
2787,Brad Katona,Jay Cucciniello
2788,Alex Caceres,Martin Bravo
2789,Roxanne Modafferi,Barb Honchak
2790,Alessio Di Chirico,Julian Marquez
2791,Montana De La Rosa,Rachael Ostovich
2792,Luis Pena,Richie Smullen
2793,John Gunther,Allan Zuniga
2794,Bryce Mitchell,Tyler Diamond
2795,Steven Peterson,Matt Bessette
2796,Gerald Meerschaert,Oskar Piechota
2797,Leon Edwards,Donald Cerrone
2798,Ovince Saint Preux,Tyson Pedro
2799,Jessica Eye,Jessica-Rose Clark
2800,Li Jingliang,Daichi Abe
2801,Petr Yan,Teruto Ishihara
2802,Song Yadong,Felipe Arantes
2803,Shane Young,Rolando Dy
2804,Song Kenan,Hector Aldana
2805,Jake Matthews,Shinsho Anzai
2806,Yan Xiaonan,Viviane Pereira
2807,Matt Schnell,Naoki Inoue
2808,Yuta Sasaki,Jenel Lausa
2809,Ji Yeon Kim,Melinda Fabian
2810,Robert Whittaker,Yoel Romero
2811,Colby Covington,Rafael Dos Anjos
2812,Holly Holm,Megan Anderson
2813,Tai Tuivasa,Andrei Arlovski
2814,CM Punk,Mike Jackson
2815,Curtis Blaydes,Alistair Overeem
2816,Claudia Gadelha,Carla Esparza
2817,Mirsad Bektic,Ricardo Lamas
2818,Chris de la Rocha,Rashad Coulter
2819,Anthony Smith,Rashad Evans
2820,Sergio Pettis,Joseph Benavidez
2821,Charles Oliveira,Clay Guida
2822,Dan Ige,Mike Santiago
2823,Marlon Moraes,Jimmie Rivera
2824,Gregor Gillespie,Vinc Pichel
2825,Walt Harris,Daniel Spitz
2826,Ben Saunders,Jake Ellenberger
2827,Julio Arce,Daniel Teymur
2828,Sam Alvey,Gian Villante
2829,Sijara Eubanks,Lauren Murphy
2830,David Teymur,Nik Lentz
2831,Belal Muhammad,Chance Rencountre
2832,Desmond Green,Gleison Tibau
2833,Nathaniel Wood,Johnny Eduardo
2834,Jose Torres,Jarred Brooks
2835,Darren Till,Stephen Thompson
2836,Neil Magny,Craig White
2837,Arnold Allen,Mads Burnell
2838,Makwan Amirkhani,Jason Knight
2839,Claudio Silva,Nordine Taleb
2840,Darren Stewart,Eric Spicely
2841,Tom Breese,Daniel Kelly
2842,Lina Lansberg,Gina Mazany
2843,Carlo Pedersoli Jr.,Brad Scott
2844,Gillian Robertson,Molly McCann
2845,Elias Theodorou,Trevor Smith
2846,Kamaru Usman,Demian Maia
2847,Tatiana Suarez,Alexa Grasso
2848,Dominick Reyes,Jared Cannonier
2849,Guido Cannetti,Diego Rivas
2850,Andrea Lee,Veronica Hardy
2851,Vicente Luque,Chad Laprise
2852,Michel Prazeres,Zak Cummings
2853,Alexandre Pantoja,Brandon Moreno
2854,Poliana Botelho,Syuri Kondo
2855,Gabriel Benitez,Humberto Bandenay
2856,Enrique Barzola,Brandon Davis
2857,Frankie Saenz,Henry Briones
2858,Claudio Puelles,Felipe Silva
2859,Amanda Nunes,Raquel Pennington
2860,Kelvin Gastelum,Jacare Souza
2861,Mackenzie Dern,Amanda Cooper
2862,John Lineker,Brian Kelleher
2863,Lyoto Machida,Vitor Belfort
2864,Cezar Ferreira,Karl Roberson
2865,Aleksei Oleinik,Junior Albini
2866,Davi Ramos,Nick Hein
2867,Elizeu Zaleski dos Santos,Sean Strickland
2868,Warlley Alves,Sultan Aliev
2869,Jack Hermansson,Thales Leites
2870,Ramazan Emeev,Alberto Mina
2871,Markus Perez,James Bochnovic
2872,Kevin Lee,Edson Barboza
2873,Frankie Edgar,Cub Swanson
2874,Justin Willis,Chase Sherman
2875,David Branch,Thiago Santos
2876,Aljamain Sterling,Brett Johns
2877,Dan Hooker,Jim Miller
2878,Ryan LaFlare,Alex Garcia
2879,Ricky Simon,Merab Dvalishvili
2880,Siyar Bahadurzada,Luan Chagas
2881,Corey Anderson,Patrick Cummins
2882,Anthony Rocco Martin,Keita Nakamura
2883,Dustin Poirier,Justin Gaethje
2884,Alex Oliveira,Carlos Condit
2885,Israel Adesanya,Marvin Vettori
2886,Michelle Waterson-Gomez,Cortney Casey
2887,Antonio Carlos Junior,Tim Boetsch
2888,Muslim Salikhov,Ricky Rainey
2889,John Moraga,Wilson Reis
2890,Brad Tavares,Krzysztof Jotko
2891,Gilbert Burns,Dan Moret
2892,Lauren Mueller,Shana Dobson
2893,Yushin Okami,Dhiego Lima
2894,Adam Wieczorek,Arjan Bhullar
2895,Alejandro Perez,Matthew Lopez
2896,Luke Sanders,Patrick Williams
2897,Khabib Nurmagomedov,Al Iaquinta
2898,Rose Namajunas,Joanna Jedrzejczyk
2899,Renato Moicano,Calvin Kattar
2900,Zabit Magomedsharipov,Kyle Bochniak
2901,Chris Gruetzemacher,Joe Lauzon
2902,Karolina Kowalkiewicz,Felice Herrig
2903,Olivier Aubin-Mercier,Evan Dunham
2904,Ashlee Evans-Smith,Bec Rawlings
2905,Devin Clark,Mike Rodriguez
2906,Alexander Volkov,Fabricio Werdum
2907,Jan Blachowicz,Jimi Manuwa
2908,Tom Duquesnoy,Terrion Ware
2909,Leon Edwards,Peter Sobotta
2910,Charles Byrd,John Phillips
2911,Danny Roberts,Oliver Enkamp
2912,Danny Henry,Hakeem Dawodu
2913,Paul Craig,Magomed Ankalaev
2914,Kajan Johnson,Stevie Ray
2915,Dmitry Sosnovskiy,Mark Godbeer
2916,Cristiane Justino,Yana Santos
2917,Brian Ortega,Frankie Edgar
2918,Sean O'Malley,Andre Soukhamthath
2919,Andrei Arlovski,Stefan Struve
2920,Ketlen Vieira,Cat Zingano
2921,Mackenzie Dern,Ashley Yoder
2922,Alexander Hernandez,Beneil Dariush
2923,John Dodson,Pedro Munhoz
2924,CB Dollaway,Hector Lombard
2925,Zak Ottow,Mike Pyle
2926,Cody Stamann,Bryan Caraway
2927,Jordan Johnson,Adam Milstead
2928,Jeremy Stephens,Josh Emmett
2929,Jessica Andrade,Tecia Torres
2930,Ilir Latifi,Ovince Saint Preux
2931,Max Griffin,Mike Perry
2932,Brian Kelleher,Renan Barao
2933,Marion Reneau,Sara McMann
2934,Angela Hill,Maryna Moroz
2935,Alan Jouban,Ben Saunders
2936,Sam Alvey,Marcin Prachnio
2937,Rani Yahya,Russell Doane
2938,Alex Perez,Eric Shelton
2939,Manny Bermudez,Albert Morales
2940,Donald Cerrone,Yancy Medeiros
2941,Derrick Lewis,Marcin Tybura
2942,James Vick,Francisco Trinaldo
2943,Curtis Millender,Thiago Alves
2944,Brandon Davis,Steven Peterson
2945,Sage Northcutt,Thibault Gouti
2946,Diego Ferreira,Jared Gordon
2947,Geoff Neal,Brian Camozzi
2948,Robert Sanchez,Joby Sanchez
2949,Lucie Pudilova,Sarah Moras
2950,Alex Morono,Joshua Burkman
2951,Oskar Piechota,Tim Williams
2952,Yoel Romero,Luke Rockhold
2953,Curtis Blaydes,Mark Hunt
2954,Tai Tuivasa,Cyril Asker
2955,Jake Matthews,Li Jingliang
2956,Tyson Pedro,Saparbeg Safarov
2957,Dong Hyun Ma,Damien Brown
2958,Israel Adesanya,Rob Wilkinson
2959,Alexander Volkanovski,Jeremy Kennedy
2960,Jussier Formiga,Ben Nguyen
2961,Ross Pearson,Mizuto Hirota
2962,Jose Quinonez,Teruto Ishihara
2963,Luke Jumeau,Daichi Abe
2964,Lyoto Machida,Eryk Anders
2965,Valentina Shevchenko,Priscila Cachoeira
2966,Michel Prazeres,Desmond Green
2967,Timothy Johnson,Marcelo Golm
2968,Douglas Silva de Andrade,Marlon Vera
2969,Thiago Santos,Anthony Smith
2970,Sergio Moraes,Tim Means
2971,Alan Patrick,Damir Hadzovic
2972,Polyana Viana,Maia Stevenson
2973,Iuri Alcantara,Joe Soto
2974,Deiveson Figueiredo,Joseph Morales
2975,Jacare Souza,Derek Brunson
2976,Andre Fili,Dennis Bermudez
2977,Gregor Gillespie,Jordan Rinaldi
2978,Drew Dober,Frank Camacho
2979,Bobby Green,Erik Koch
2980,Mirsad Bektic,Godofredo Pepey
2981,Katlyn Cerminara,Mara Romero Borella
2982,Randa Markos,Juliana Lima
2983,Ji Yeon Kim,Justine Kish
2984,Vinc Pichel,Joaquim Silva
2985,Niko Price,George Sullivan
2986,Cory Sandhagen,Austin Arnett
2987,Stipe Miocic,Francis Ngannou
2988,Daniel Cormier,Volkan Oezdemir
2989,Calvin Kattar,Shane Burgos
2990,Gian Villante,Francimar Barroso
2991,Rob Font,Thomas Almeida
2992,Kyle Bochniak,Brandon Davis
2993,Abdul Razak Alhassan,Sabah Homasi
2994,Dustin Ortiz,Alexandre Pantoja
2995,Julio Arce,Dan Ige
2996,Enrique Barzola,Matt Bessette
2997,Islam Makhachev,Gleison Tibau
2998,Jeremy Stephens,Dooho Choi
2999,Jessica-Rose Clark,Paige VanZant
3000,Kamaru Usman,Emil Meek
3001,Darren Elkins,Michael Johnson
3002,James Krause,Alex White
3003,Marco Polo Reyes,Matt Frevola
3004,Irene Aldana,Talita Bernardo
3005,Kyung Ho Kang,Guido Cannetti
3006,Jessica Eye,Kalindra Faria
3007,JJ Aldrich,Danielle Taylor
3008,Mads Burnell,Mike Santiago
3009,Cristiane Justino,Holly Holm
3010,Khabib Nurmagomedov,Edson Barboza
3011,Dan Hooker,Marc Diakiese
3012,Carla Esparza,Cynthia Calvillo
3013,Neil Magny,Carlos Condit
3014,Khalil Rountree Jr.,Michal Oleksiejczuk
3015,Myles Jury,Ricky Glenn
3016,Marvin Vettori,Omari Akhmedov
3017,Matheus Nicolau,Louis Smolka
3018,Tim Elliott,Mark De La Rosa
3019,Rafael Dos Anjos,Robbie Lawler
3020,Josh Emmett,Ricardo Lamas
3021,Santiago Ponzinibbio,Mike Perry
3022,Glover Teixeira,Misha Cirkunov
3023,Jan Blachowicz,Jared Cannonier
3024,Julian Marquez,Darren Stewart
3025,Chad Laprise,Galore Bofando
3026,Nordine Taleb,Danny Roberts
3027,John Makdessi,Abel Trujillo
3028,Alessio Di Chirico,Oluwale Bamgbose
3029,Jordan Mein,Erick Silva
3030,Brian Ortega,Cub Swanson
3031,Gabriel Benitez,Jason Knight
3032,Marlon Moraes,Aljamain Sterling
3033,Scott Holtzman,Darrell Horcher
3034,Eryk Anders,Markus Perez
3035,Benito Lopez,Albert Morales
3036,Alexis Davis,Liz Carmouche
3037,Andre Soukhamthath,Luke Sanders
3038,Alex Perez,Carls John De Tomas
3039,Frankie Saenz,Merab Dvalishvili
3040,Alejandro Perez,Iuri Alcantara
3041,Davi Ramos,Chris Gruetzemacher
3042,Trevin Giles,Antonio Braga Neto
3043,Max Holloway,Jose Aldo
3044,Francis Ngannou,Alistair Overeem
3045,Henry Cejudo,Sergio Pettis
3046,Eddie Alvarez,Justin Gaethje
3047,Tecia Torres,Michelle Waterson-Gomez
3048,Paul Felder,Charles Oliveira
3049,Yancy Medeiros,Alex Oliveira
3050,David Teymur,Drakkar Klose
3051,Felice Herrig,Cortney Casey
3052,Amanda Cooper,Angela Magana
3053,Abdul Razak Alhassan,Sabah Homasi
3054,Dominick Reyes,Jeremy Kimball
3055,Justin Willis,Allen Crowder
3056,Nicco Montano,Roxanne Modafferi
3057,Sean O'Malley,Terrion Ware
3058,Lauren Murphy,Barb Honchak
3059,Gerald Meerschaert,Eric Spicely
3060,DeAnna Bennett,Melinda Fabian
3061,Brett Johns,Joe Soto
3062,Montana De La Rosa,Christina Marks
3063,Ryan Janes,Andrew Sanchez
3064,Rachael Ostovich,Karine Gevorgyan
3065,Shana Dobson,Ariel Beck
3066,Gillian Robertson,Emily Whitmire
3067,Kelvin Gastelum,Michael Bisping
3068,Li Jingliang,Zak Ottow
3069,Wang Guan,Alex Caceres
3070,Alex Garcia,Muslim Salikhov
3071,Zabit Magomedsharipov,Sheymon Moraes
3072,Song Kenan,Bobby Nash
3073,Yan Xiaonan,Kailin Curran
3074,Song Yadong,Bharat Kandare
3075,Shamil Abdurakhimov,Chase Sherman
3076,Gina Mazany,Wu Yanan
3077,Rolando Dy,Wulijiburen
3078,Cyril Asker,Hu Yaozong
3079,Fabricio Werdum,Marcin Tybura
3080,Jessica-Rose Clark,Bec Rawlings
3081,Belal Muhammad,Tim Means
3082,Jake Matthews,Bojan Velickovic
3083,Elias Theodorou,Daniel Kelly
3084,Alexander Volkanovski,Shane Young
3085,Ryan Benoit,Ashkan Mokhtarian
3086,Nik Lentz,Will Brooks
3087,Tai Tuivasa,Rashad Coulter
3088,Frank Camacho,Damien Brown
3089,Nadia Kassem,Alex Chambers
3090,Eric Shelton,Jenel Lausa
3091,Adam Wieczorek,Anthony Hamilton
3092,Dustin Poirier,Anthony Pettis
3093,Matt Brown,Diego Sanchez
3094,Andrei Arlovski,Junior Albini
3095,Cezar Ferreira,Nate Marquardt
3096,Raphael Assuncao,Matthew Lopez
3097,Clay Guida,Joe Lauzon
3098,Marlon Moraes,John Dodson
3099,Tatiana Suarez,Viviane Pereira
3100,Sage Northcutt,Michel Quinones
3101,Nina Nunes,Angela Hill
3102,Sean Strickland,Court McGee
3103,Jake Collier,Marcel Fortuna
3104,Karl Roberson,Darren Stewart
3105,Georges St-Pierre,Michael Bisping
3106,TJ Dillashaw,Cody Garbrandt
3107,Rose Namajunas,Joanna Jedrzejczyk
3108,Stephen Thompson,Jorge Masvidal
3109,Paulo Costa,Johny Hendricks
3110,James Vick,Joe Duffy
3111,Mark Godbeer,Walt Harris
3112,Ovince Saint Preux,Corey Anderson
3113,Randy Brown,Mickey Gall
3114,Curtis Blaydes,Aleksei Oleinik
3115,Ricardo Ramos,Aiemann Zahabi
3116,Derek Brunson,Lyoto Machida
3117,Colby Covington,Demian Maia
3118,Pedro Munhoz,Rob Font
3119,Francisco Trinaldo,Jim Miller
3120,Thiago Santos,Jack Hermansson
3121,John Lineker,Marlon Vera
3122,Vicente Luque,Niko Price
3123,Antonio Carlos Junior,Jack Marshman
3124,Jared Gordon,Hacran Dias
3125,Elizeu Zaleski dos Santos,Max Griffin
3126,Deiveson Figueiredo,Jarred Brooks
3127,Marcelo Golm,Christian Colombo
3128,Darren Till,Donald Cerrone
3129,Karolina Kowalkiewicz,Jodie Esquibel
3130,Jan Blachowicz,Devin Clark
3131,Oskar Piechota,Jonathan Wilson
3132,Marcin Held,Nasrat Haqparast
3133,Brian Kelleher,Damian Stasiak
3134,Ramazan Emeev,Sam Alvey
3135,Andre Fili,Artem Lobov
3136,Warlley Alves,Salim Touahri
3137,Aspen Ladd,Lina Lansberg
3138,Josh Emmett,Felipe Arantes
3139,Tony Ferguson,Kevin Lee
3140,Demetrious Johnson,Ray Borg
3141,Fabricio Werdum,Walt Harris
3142,Mara Romero Borella,Kalindra Faria
3143,Beneil Dariush,Evan Dunham
3144,Cody Stamann,Tom Duquesnoy
3145,Lando Vannata,Bobby Green
3146,Poliana Botelho,Pearl Gonzalez
3147,Matt Schnell,Marco Beltran
3148,John Moraga,Bibulatov Magomed
3149,Brad Tavares,Thales Leites
3150,Ovince Saint Preux,Yushin Okami
